date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_basement,yr_built
2014-10-01 00:00:00,221900,3.00,1.00,1180,5650,1,7,0,1955
2014-12-01 00:00:00,538000,3.00,2.25,2570,7242,2,7,400,1951
2015-02-01 00:00:00,180000,2.00,1.00,770,10000,1,6,0,1933
2014-12-01 00:00:00,604000,4.00,3.00,1960,5000,1,7,910,1965
2015-02-01 00:00:00,510000,3.00,2.00,1680,8080,1,8,0,1987
2014-05-01 00:00:00,1230000,4.00,4.50,5420,101930,1,11,1530,2001
2014-06-01 00:00:00,257500,3.00,2.25,1715,6819,2,7,0,1995
2015-01-01 00:00:00,291850,3.00,1.50,1060,9711,1,7,0,1963
2015-04-01 00:00:00,229500,3.00,1.00,1780,7470,1,7,730,1960
2015-03-01 00:00:00,323000,3.00,2.50,1890,6560,2,7,0,2003
2015-04-01 00:00:00,662500,3.00,2.50,3560,9796,1,8,1700,1965
2014-05-01 00:00:00,468000,2.00,1.00,1160,6000,1,7,300,1942
2014-05-01 00:00:00,310000,3.00,1.00,1430,19901,1.5,7,0,1927
2014-10-01 00:00:00,400000,3.00,1.75,1370,9680,1,7,0,1977
2015-03-01 00:00:00,530000,5.00,2.00,1810,4850,1.5,7,0,1900
2015-01-01 00:00:00,650000,4.00,3.00,2950,5000,2,9,970,1979
2014-07-01 00:00:00,395000,3.00,2.00,1890,14040,2,7,0,1994
2014-05-01 00:00:00,485000,4.00,1.00,1600,4300,1.5,7,0,1916
2014-12-01 00:00:00,189000,2.00,1.00,1200,9850,1,7,0,1921
2015-04-01 00:00:00,230000,3.00,1.00,1250,9774,1,7,0,1969
2014-05-01 00:00:00,385000,4.00,1.75,1620,4980,1,7,760,1947
2014-08-01 00:00:00,2000000,3.00,2.75,3050,44867,1,9,720,1968
2014-07-01 00:00:00,285000,5.00,2.50,2270,6300,2,8,0,1995
2014-05-01 00:00:00,252700,2.00,1.50,1070,9643,1,7,0,1985
2014-11-01 00:00:00,329000,3.00,2.25,2450,6500,2,8,0,1985
2014-11-01 00:00:00,233000,3.00,2.00,1710,4697,1.5,6,0,1941
2014-06-01 00:00:00,937000,3.00,1.75,2450,2691,2,8,700,1915
2014-12-01 00:00:00,667000,3.00,1.00,1400,1581,1.5,8,0,1909
2014-06-01 00:00:00,438000,3.00,1.75,1520,6380,1,7,730,1948
2015-03-01 00:00:00,719000,4.00,2.50,2570,7173,2,8,0,2005
2014-11-01 00:00:00,580500,3.00,2.50,2320,3980,2,8,0,2003
2014-12-01 00:00:00,280000,2.00,1.50,1190,1265,3,7,0,2005
2014-06-01 00:00:00,687500,4.00,1.75,2330,5000,1.5,7,820,1929
2014-11-01 00:00:00,535000,3.00,1.00,1090,3000,1.5,8,0,1929
2014-12-01 00:00:00,322500,4.00,2.75,2060,6659,1,7,780,1981
2014-06-01 00:00:00,696000,3.00,2.50,2300,3060,1.5,8,790,1930
2014-05-01 00:00:00,550000,4.00,1.00,1660,34848,1,5,730,1933
2014-12-01 00:00:00,640000,4.00,2.00,2360,6000,2,8,0,1904
2015-02-01 00:00:00,240000,4.00,1.00,1220,8075,1,7,330,1969
2014-06-01 00:00:00,605000,4.00,2.50,2620,7553,2,8,0,1996
2014-07-01 00:00:00,625000,4.00,2.50,2570,5520,2,9,0,2000
2014-08-01 00:00:00,775000,4.00,2.25,4220,24186,1,8,1620,1984
2014-07-01 00:00:00,861990,5.00,2.75,3595,5639,2,9,0,2014
2014-10-01 00:00:00,685000,3.00,1.00,1570,2280,2,7,0,1922
2014-07-01 00:00:00,309000,3.00,1.00,1280,9656,1,6,360,1959
2014-07-01 00:00:00,488000,3.00,2.50,3160,13603,2,8,0,2003
2015-03-01 00:00:00,210490,3.00,1.00,990,8528,1,6,0,1966
2014-07-01 00:00:00,785000,4.00,2.50,2290,13416,2,9,0,1981
2015-04-01 00:00:00,450000,3.00,1.75,1250,5963,1,7,0,1953
2015-03-01 00:00:00,1350000,3.00,2.50,2753,65005,1,9,588,1953
2014-09-01 00:00:00,228000,3.00,1.00,1190,9199,1,7,0,1955
2015-02-01 00:00:00,345000,5.00,2.50,3150,9134,1,8,1510,1966
2014-12-01 00:00:00,600000,3.00,1.75,1410,4080,1,7,410,1950
2015-02-01 00:00:00,585000,2.00,1.75,1980,8550,1,7,990,1981
2015-03-01 00:00:00,920000,5.00,2.25,2730,6000,1.5,8,600,1927
2014-05-01 00:00:00,885000,4.00,2.50,2830,5000,2,9,0,1995
2014-08-01 00:00:00,292500,4.00,2.50,2250,4495,2,7,0,2008
2015-04-01 00:00:00,301000,3.00,2.50,2420,4750,2,8,0,2003
2014-08-01 00:00:00,951000,5.00,3.25,3250,14342,2,8,0,1968
2015-02-01 00:00:00,430000,4.00,3.00,1850,9976,2,8,0,1991
2014-12-01 00:00:00,650000,3.00,2.25,2150,21235,1,8,560,1959
2014-08-01 00:00:00,289000,3.00,1.75,1260,8400,1,7,0,1954
2014-10-01 00:00:00,505000,3.00,1.75,2519,8690,2,8,0,1973
2014-12-01 00:00:00,549000,3.00,1.75,1540,1044,3,8,0,2014
2014-06-01 00:00:00,425000,3.00,2.25,1660,6000,1,7,550,1979
2014-11-01 00:00:00,317625,3.00,2.75,2770,3809,1.5,7,1000,1925
2014-09-01 00:00:00,975000,4.00,2.50,2720,11049,2,10,0,1989
2014-10-01 00:00:00,287000,4.00,2.50,2240,4648,2,7,0,2005
2014-08-01 00:00:00,204000,3.00,1.00,1000,12070,1,7,0,1968
2014-06-01 00:00:00,1330000,5.00,2.25,3200,20158,1,8,1600,1965
2014-09-01 00:00:00,1040000,5.00,3.25,4770,50094,1,11,1700,1973
2015-01-01 00:00:00,325000,3.00,2.00,1260,5612,1,7,0,1972
2014-06-01 00:00:00,571000,4.00,2.00,2750,7807,1.5,7,500,1916
2014-07-01 00:00:00,360000,4.00,2.50,2380,5000,2,8,0,2005
2015-03-01 00:00:00,349000,3.00,1.75,1790,50529,1,7,700,1965
2014-11-01 00:00:00,832500,4.00,4.00,3430,35102,2,10,1040,1986
2014-10-01 00:00:00,380000,4.00,1.75,1760,7300,1,7,880,1956
2015-04-01 00:00:00,480000,3.00,1.00,1040,5060,1,7,0,1941
2014-06-01 00:00:00,410000,3.00,1.00,1410,5060,1,7,500,1956
2015-03-01 00:00:00,720000,4.00,2.50,3450,39683,2,10,0,2002
2014-12-01 00:00:00,390000,3.00,2.50,2350,5100,2,8,0,2003
2014-12-01 00:00:00,360000,4.00,2.50,1900,5889,2,7,0,1992
2014-10-01 00:00:00,355000,2.00,1.00,2020,6720,1,7,1010,1948
2015-01-01 00:00:00,356000,3.00,1.50,1680,8712,1,8,0,1964
2014-06-01 00:00:00,315000,3.00,1.00,960,6634,1,6,0,1952
2014-11-01 00:00:00,940000,3.00,1.50,2140,3600,2,9,240,1925
2014-11-01 00:00:00,305000,5.00,2.25,2660,8400,1.5,7,0,1961
2014-06-01 00:00:00,461000,3.00,3.25,2770,6278,2,9,790,2006
2014-05-01 00:00:00,215000,2.00,2.25,1610,2040,2,7,0,1979
2014-09-01 00:00:00,335000,2.00,1.75,1030,1066,2,7,265,2006
2014-05-01 00:00:00,243500,4.00,2.50,1980,7403,2,7,0,1988
2015-03-01 00:00:00,1100000,5.00,2.75,3520,6353,2,10,0,2001
2015-02-01 00:00:00,153000,3.00,1.00,1200,10500,1,7,0,1962
2014-07-01 00:00:00,430000,3.00,1.50,1580,5000,1,8,290,1939
2014-12-01 00:00:00,700000,3.00,1.50,1580,5000,1,8,290,1939
